sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,state
5.8,2.8,5.5,2.0,virginica,Washington
4.8,3.1,1.7,0.3,setosa,Washington
5.0,3.6,1.5,0.3,setosa,Washington
4.9,3.2,1.5,0.4,setosa,Washington
6.0,2.6,5.5,2.2,virginica,Washington
6.8,3.3,5.2,2.0,virginica,Washington
6.6,2.8,6.5,2.2,virginica,Washington
5.3,2.5,4.3,1.1,versicolor,Washington
5.4,3.3,1.5,0.2,setosa,Washington
6.3,2.4,3.4,1.2,versicolor,Washington
5.2,3.0,1.2,0.1,setosa,Washington
6.2,3.0,5.1,1.2,versicolor,Washington
6.1,2.6,5.6,1.3,versicolor,Washington
4.7,3.5,1.4,0.3,setosa,Washington
7.6,3.1,6.6,1.9,virginica,Washington
6.1,3.5,4.8,1.8,virginica,Washington
7.2,3.3,6.3,1.9,virginica,Washington
4.7,3.6,1.5,0.1,setosa,Washington
6.6,2.3,4.5,0.9,versicolor,Washington
4.7,3.8,1.2,0.2,setosa,Washington
5.8,3.0,4.0,1.4,versicolor,Washington
6.4,2.7,5.0,1.2,versicolor,Washington
4.6,3.7,1.2,0.5,setosa,Washington
7.3,3.0,5.1,2.0,virginica,Washington
6.8,2.9,5.3,1.3,virginica,Washington
6.8,3.0,4.1,1.7,versicolor,Washington
6.9,2.8,5.0,0.9,versicolor,Washington
6.3,2.9,5.9,2.0,virginica,Washington
4.7,4.1,1.3,0.5,setosa,Washington
6.7,3.3,4.9,2.4,virginica,Washington
6.5,2.5,5.3,2.4,virginica,Washington
5.3,3.3,1.5,0.2,setosa,Washington
6.3,2.6,3.8,1.4,versicolor,Washington
5.5,3.0,6.4,2.0,virginica,Washington
4.5,4.0,1.5,0.1,setosa,Washington
6.3,2.6,4.0,1.4,versicolor,Washington
5.2,2.3,4.2,1.4,versicolor,Washington
4.6,4.0,1.6,0.2,setosa,Washington
6.0,3.3,5.0,2.4,virginica,Washington
5.4,3.2,1.8,0.3,setosa,Washington
6.3,2.9,6.3,2.2,virginica,Washington
5.0,3.2,1.6,0.2,setosa,Washington
5.9,3.0,4.8,1.4,versicolor,Washington
6.6,3.0,5.2,2.1,virginica,Washington
5.5,2.6,1.0,0.2,setosa,Washington
4.9,3.4,1.3,0.2,setosa,Washington
6.3,3.3,1.5,0.2,setosa,Washington
4.8,3.7,1.6,0.4,setosa,Washington
5.9,2.5,4.5,0.8,versicolor,Washington
6.7,2.9,5.8,1.7,virginica,Washington
6.3,3.1,4.4,1.2,versicolor,Florida
5.4,2.5,5.9,1.9,versicolor,Florida
6.2,3.0,5.4,1.4,versicolor,Florida
5.9,1.9,6.1,1.3,versicolor,Florida
5.9,2.6,6.5,1.9,virginica,Florida
6.6,3.2,5.8,1.8,virginica,Florida
6.5,3.5,5.6,2.2,virginica,Florida
5.0,3.4,2.7,0.1,setosa,Florida
6.3,2.7,6.8,1.9,virginica,Florida
7.3,3.1,7.0,1.8,virginica,Florida
7.1,3.2,6.4,2.0,virginica,Florida
5.6,3.1,6.3,1.7,virginica,Florida
4.7,3.0,2.4,0.4,setosa,Florida
5.2,2.5,4.9,1.1,versicolor,Florida
7.4,2.6,6.3,2.0,virginica,Florida
5.8,3.2,6.5,2.1,virginica,Florida
4.7,3.5,2.4,0.1,setosa,Florida
5.0,3.2,2.4,0.2,setosa,Florida
6.0,2.6,5.8,1.2,versicolor,Florida
4.3,3.1,2.5,0.3,setosa,Florida
6.2,2.8,5.5,1.1,versicolor,Florida
6.3,2.9,5.5,1.1,versicolor,Florida
7.0,2.9,6.0,2.0,virginica,Florida
5.4,3.1,4.7,1.2,versicolor,Florida
4.8,3.7,2.6,0.4,setosa,Florida
5.4,3.4,2.4,0.2,setosa,Florida
7.4,2.8,6.7,2.1,virginica,Florida
5.3,3.5,2.5,0.2,setosa,Florida
5.8,3.3,6.5,1.7,virginica,Florida
6.6,3.7,6.4,2.1,virginica,Florida
7.6,3.0,6.9,2.4,virginica,Florida
4.6,3.2,2.5,0.1,setosa,Florida
5.3,3.9,2.2,0.3,setosa,Florida
5.5,2.5,4.7,1.2,versicolor,Florida
6.8,2.5,6.6,2.3,virginica,Florida
7.3,2.8,6.1,1.6,virginica,Florida
5.4,3.6,2.2,0.1,setosa,Florida
7.3,3.5,6.6,2.3,virginica,Florida
4.6,3.2,2.7,0.1,setosa,Florida
6.0,2.9,7.2,2.1,virginica,Florida
4.5,3.9,2.6,0.4,setosa,Florida
6.0,2.6,4.3,1.3,versicolor,Florida
4.9,3.5,2.6,0.2,setosa,Florida
6.4,2.8,5.8,1.3,versicolor,Florida
6.3,3.0,5.1,1.3,versicolor,Florida
4.9,2.8,2.5,0.1,setosa,Florida
5.5,2.4,5.6,1.4,versicolor,Florida
6.3,2.7,6.7,2.2,virginica,Florida
6.6,2.9,6.8,1.8,virginica,Florida
4.9,3.2,2.5,0.1,setosa,Florida
5.1,3.4,1.1,0.2,setosa,Missouri
6.8,3.2,6.0,1.6,virginica,Missouri
6.2,2.6,4.3,1.5,versicolor,Missouri
4.9,2.7,3.3,1.2,versicolor,Missouri
6.9,3.6,4.6,1.8,virginica,Missouri
6.6,2.6,4.1,1.5,versicolor,Missouri
4.6,3.5,1.4,0.4,setosa,Missouri
6.0,2.5,4.2,1.1,versicolor,Missouri
6.3,3.1,5.0,1.1,versicolor,Missouri
6.0,2.3,3.9,1.5,versicolor,Missouri
4.2,3.1,1.6,0.4,setosa,Missouri
4.7,3.8,1.5,0.4,setosa,Missouri
6.0,2.6,3.9,1.2,versicolor,Missouri
5.1,3.7,1.4,0.1,setosa,Missouri
5.3,3.0,5.4,2.3,virginica,Missouri
4.8,3.7,1.0,0.3,setosa,Missouri
6.9,3.2,4.3,2.0,virginica,Missouri
5.8,2.6,4.9,1.2,versicolor,Missouri
4.2,4.0,1.4,0.3,setosa,Missouri
6.1,3.0,4.8,2.2,virginica,Missouri
5.8,3.0,6.5,2.4,virginica,Missouri
5.2,2.8,3.8,1.3,versicolor,Missouri
5.1,3.6,1.3,0.2,setosa,Missouri
4.4,3.0,1.4,0.4,setosa,Missouri
6.6,2.6,4.0,1.5,versicolor,Missouri
5.2,2.9,1.6,0.3,setosa,Missouri
5.9,3.0,3.3,1.5,versicolor,Missouri
6.0,2.9,3.8,1.3,versicolor,Missouri
5.8,3.5,1.3,0.3,setosa,Missouri
4.9,3.2,4.6,1.5,versicolor,Missouri
6.5,2.8,4.2,1.3,versicolor,Missouri
4.6,2.3,4.6,1.3,versicolor,Missouri
7.0,2.2,4.0,1.5,versicolor,Missouri
5.7,2.7,4.1,1.3,versicolor,Missouri
4.9,4.1,1.6,0.1,setosa,Missouri
5.2,2.1,4.5,1.6,versicolor,Missouri
7.5,3.0,4.8,1.7,virginica,Missouri
5.7,3.1,3.6,1.2,versicolor,Missouri
5.3,3.5,1.6,0.2,setosa,Missouri
6.7,2.9,5.6,2.2,virginica,Missouri
4.8,3.4,1.7,0.2,setosa,Missouri
6.5,2.9,5.8,2.1,virginica,Missouri
6.7,2.3,4.6,1.0,versicolor,Missouri
6.1,2.8,4.6,1.6,versicolor,Missouri
5.8,2.7,3.9,1.6,versicolor,Missouri
4.4,3.4,1.7,0.2,setosa,Missouri
6.6,2.7,5.3,1.9,virginica,Missouri
7.0,3.5,5.4,1.8,virginica,Missouri
6.8,2.9,5.0,1.6,virginica,Missouri
6.5,3.1,5.8,2.1,virginica,Missouri
